ID,LONISID,RID
42148,15737,1137
42150,15741,196
42152,15749,1343
42154,15752,343
42156,15755,912
42158,15756,1346
42160,15759,272
42162,15767,337
42164,15775,214
42166,15776,389
42168,15778,607
42170,15780,607
42172,15784,978
42174,15786,400
42176,15793,1073
42178,15795,459
42180,15808,324
42182,15813,86
42184,15815,86
42186,15825,1318
42188,15830,328
42190,15831,303
42192,15833,301
42194,15836,403
42196,15842,1331
42198,15846,908
42200,15849,177
42202,15850,1031
42204,15853,945
42206,15856,869
42208,15859,473
42210,15863,370
42212,15888,1245
42214,15890,123
42216,15891,403
42218,15893,1034
42220,15894,1004
42222,15897,390
42224,15900,298
42226,15901,1031
42228,15902,433
42230,15916,404
42232,15921,424
42234,15923,299
42236,15926,260
42238,15928,260
42240,15934,299
42242,15935,404
42244,15941,369
42246,15942,1253
42248,15943,982
42250,15946,190
42252,15951,915
42254,15952,952
42256,15953,369
42258,15960,544
42260,15971,697
42262,15974,1094
42264,15977,810
42266,15992,1257
42268,15993,932
42270,16003,987
42272,16004,1397
42274,16009,300
42276,16013,467
42278,16016,434
42280,16023,1030
42282,16024,29
42284,16027,286
42286,16029,300
42288,16032,470
42290,16034,167
42292,16038,408
42294,16042,290
42296,16043,1241
42298,16049,316
42300,16051,1045
42302,16054,1402
42304,16055,551
42306,16058,327
42308,16061,493
42310,16063,925
42312,16067,1268
42314,16078,842
42316,16080,862
42318,16082,1354
42320,16084,1334
42322,16087,945
42324,16094,950
42326,16097,967
42328,16102,1157
42330,16108,1394
42332,16124,1197
42334,16132,382
42336,16134,382
42338,16150,577
42340,16151,513
42342,16153,928
42344,16155,493
42346,16158,802
42348,16160,928
42350,16162,500
42352,16166,1046
42354,16168,1046
42356,16171,1256
42358,16174,488
42360,16178,454
42362,16179,522
42364,16181,448
42366,16184,290
42368,16186,479
42370,16188,479
42372,16190,1261
42374,16192,1268
42376,16196,973
42378,16200,919
42380,16201,994
42382,16209,448
42384,16219,874
42386,16225,488
42388,16228,1043
42390,16232,426
42392,16236,1311
42394,16243,1028
42396,16254,954
42398,16256,954
42400,16260,481
42402,16263,336
42404,16276,928
42406,16277,925
42408,16280,516
42410,16282,567
42412,16284,392
42414,16286,487
42416,16287,425
42418,16290,487
42420,16295,511
42422,16296,425
42424,16300,450
42426,16302,450
42428,16304,568
42430,16306,568
42434,16319,1066
42436,16321,1066
42438,16323,1052
42440,16325,1024
42442,16330,414
42444,16341,1398
42446,16344,1032
42448,16346,543
42450,16360,507
42452,16365,507
42454,16370,426
42456,16372,478
42458,16375,578
42460,16378,533
42462,16380,366
42464,16382,545
42466,16392,1097
42468,16400,377
42470,16404,534
42472,16405,928
42474,16419,1080
42476,16430,457
42478,16439,588
42480,16442,406
42482,16448,588
42484,16449,429
42486,16458,406
49360,21426,1409
42490,16471,535
42492,16477,865
42494,16479,457
42496,16480,552
42498,16482,1126
42500,16484,1126
42502,16488,429
42504,16490,1377
42506,16495,782
42508,16496,1103
42510,16501,621
42512,16503,176
42514,16506,921
42516,16507,325
42518,16512,576
42520,16517,378
42522,16525,1168
42524,16530,1116
42526,16533,514
42528,16536,526
42530,16539,514
42532,16545,419
42534,16546,335
42536,16548,335
42538,16551,1116
42540,16554,77
42542,16581,501
42544,16586,1054
42546,16631,548
42548,16636,1010
42550,16645,622
42552,16656,644
42554,16660,622
42556,16663,520
42558,16665,519
42560,16668,1121
42562,16671,554
42564,16674,539
42566,16676,618
42568,16678,1077
42570,16685,1106
42572,16687,605
42574,16689,605
42576,16694,394
42578,16698,431
42580,16734,1118
42582,16751,296
42584,16753,995
42586,16760,464
42588,16762,1109
42590,16779,1092
42592,16780,374
42594,16781,1120
42596,16784,914
42598,16796,1331
42600,16800,501
42602,16801,1140
42604,16802,1226
42606,16805,1075
42608,16806,478
42610,16809,553
42612,16824,558
42614,16826,1122
42616,16842,572
42618,16848,892
42620,16850,634
42622,16852,637
42624,16860,190
42626,16866,601
42628,16869,1175
42630,16891,359
42632,16895,643
42634,16897,610
42636,16899,602
42638,16903,689
42640,16907,576
42642,16911,1114
42644,16913,950
42646,16918,557
42648,16919,680
42650,16924,525
42652,16931,708
42654,16934,976
42656,16940,497
42658,16944,997
42660,16952,285
42662,16954,289
42664,16956,505
42666,16958,449
42668,16960,525
42670,16963,1103
42672,16965,1165
42674,16990,1188
42676,16999,1072
42678,17001,673
42680,17016,1121
42682,17021,1135
42684,17024,608
42686,17039,295
42688,17041,631
42690,17047,1121
42692,17049,913
42694,17053,210
42696,17056,1131
42698,17067,689
42700,17074,633
42702,17079,656
42704,17081,1412
42706,17083,1418
42708,17088,1131
42710,17099,1406
42712,17103,690
42714,17122,1213
42716,17135,401
42718,17138,604
42720,17142,604
42722,17149,648
42724,17151,649
42726,17153,649
42728,17160,913
42730,17163,606
42732,17172,413
42734,17175,413
42736,17198,872
42738,17200,1131
42740,17202,625
42742,17205,625
42744,17223,566
42746,17229,563
49362,23349,1430
42750,17241,730
42752,17246,572
42754,17251,1186
42756,17258,667
42758,17285,658
42760,17290,1269
42762,17313,1226
42764,17316,679
42766,17317,565
42768,17320,1425
42770,17324,725
42772,17328,733
42774,17331,733
42776,17333,725
42778,17334,723
42780,17341,768
49364,20116,1246
42784,17355,449
42786,17366,734
42788,17368,724
42790,17370,724
42792,17373,989
42794,17374,1247
42796,17376,1247
